,customer_id,annual_income,vehicle_make,vehicle_model,vehicle_year,loan_amount,initial_apr,current_apr,loan_term_months,autopay_enrolled,num_successful_payments,credit_score,loan_start_date,loan_end_date,loan_status,target
4,CUST00000005,83076.23,Cadillac,CT4,2023,39342.71,15.21,15.01,36,True,11,549,2022-07-29,2025-07-13,Paid Off,0
5,CUST00000006,42353.38,Chevrolet,Malibu,2023,10122.45,17.48,17.5,36,True,16,499,2022-04-12,2025-03-27,Paid Off,0
7,CUST00000008,61357.48,Buick,Encore,2023,30288.31,15.69,17.15,48,True,28,529,2023-07-23,2027-07-02,Default,1
8,CUST00000009,51968.02,Chevrolet,Corvette,2024,24410.81,14.57,17.16,72,True,24,569,2024-10-28,2030-09-27,Paid Off,0
11,CUST00000012,81011.42,GMC,Canyon,2024,80903.68,3.84,3.12,36,True,34,755,2021-12-08,2024-11-22,Paid Off,0
19,CUST00000020,92738.46,Cadillac,XT5,2025,33904.23,14.97,17.25,36,True,17,543,2025-05-19,2028-05-03,Paid Off,0
38,CUST00000039,94570.66,Cadillac,Celestiq,2023,53876.2,13.62,13.29,24,False,15,643,2023-08-27,2025-08-16,Paid Off,0
51,CUST00000052,31845.8,Chevrolet,Silverado 3500HD,2023,18792.24,18.04,20.86,36,False,23,486,2022-11-29,2025-11-13,Default,1
56,CUST00000057,102052.2,GMC,Yukon XL,2024,65808.11,5.04,6.78,24,True,22,717,2022-04-04,2024-03-24,Paid Off,0
75,CUST00000076,37057.5,Chevrolet,Silverado 2500HD,2022,11100.89,15.75,18.69,36,False,24,330,2022-05-17,2025-05-01,Paid Off,0
80,CUST00000081,92355.13,GMC,Yukon,2023,89985.71,3.01,4.14,24,True,22,752,2023-05-07,2025-04-26,Paid Off,0
82,CUST00000083,84229.21,GMC,Acadia,2025,51616.28,7.2,9.34,24,True,17,650,2022-05-09,2024-04-28,Paid Off,0
83,CUST00000084,108011.22,Cadillac,CT4,2023,51094.6,6.59,6.16,24,False,20,726,2022-03-09,2024-02-27,Paid Off,0
