annual_income,loan_amount,loan_term_months,credit_score,target
83076.23,39342.71,36,549,0
42353.38,10122.45,36,499,0
61357.48,30288.31,48,529,1
51968.02,24410.81,72,569,0
81011.42,80903.68,36,755,0
92738.46,33904.23,36,543,0
94570.66,53876.2,24,643,0
31845.8,18792.24,36,486,1
102052.2,65808.11,24,717,0
37057.5,11100.89,36,330,0
92355.13,89985.71,24,752,0
84229.21,51616.28,24,650,0
108011.22,51094.6,24,726,0
25138.14,5618.56,48,492,1
119012.38,52829.87,84,551,1
67150.07,66745.3,60,656,1
106203.89,71692.78,72,688,0
65538.89,35917.0,60,571,1
69188.62,27596.33,72,476,1
79806.6,22061.74,36,409,0
59477.08,66453.33,48,721,0
80907.42,76453.96,60,814,1
29215.75,11232.62,24,581,0
100920.57,62257.72,60,760,1
30411.13,6575.18,24,331,0
50642.96,11875.92,36,545,0
119431.71,76778.69,48,756,0
27282.26,7500.26,24,360,0
97910.53,37498.67,24,602,0
30038.55,10856.23,84,455,0
37092.25,17517.85,48,501,1
60852.17,55076.92,36,718,0
74078.71,40825.77,84,508,1
65951.43,16144.1,36,545,0
62117.06,21389.62,60,596,0
98797.02,42103.62,24,677,0
69333.1,28827.72,72,698,0
79688.56,20514.49,24,519,0
41956.14,17826.1,36,413,1
105317.58,60609.85,60,713,0
89909.8,50743.76,24,541,0
92836.84,63825.59,36,728,1
57617.96,43846.89,60,723,1
100846.81,64510.39,24,660,0
71929.69,78499.41,84,730,1
60068.51,12722.73,84,480,0
34947.54,21609.05,36,567,0
85811.37,50652.99,36,667,0
98884.68,53635.94,24,522,0
84805.18,34974.36,24,545,0
82325.3,81677.0,24,751,0
108681.82,53880.54,60,678,1
81185.65,33363.68,36,598,0
28521.01,15664.68,24,500,0
83428.91,66688.48,24,702,0
106369.3,41229.03,48,559,0
31244.23,20795.19,84,621,1
62004.8,28438.94,24,594,1
77990.16,47469.11,24,422,0
86304.37,84426.65,48,809,0
89101.59,71548.82,36,698,1
89818.73,54543.37,72,550,1
115106.52,53971.76,36,588,0
92190.46,53814.6,24,539,0
58734.98,31007.97,36,533,0
63453.11,25155.79,24,564,0
87583.65,56481.33,24,733,0
97189.89,49099.7,36,562,1
69375.15,34931.37,24,512,0
74183.47,35651.45,84,465,1
37526.33,14349.08,24,314,0
33567.53,18782.26,24,440,0
36939.91,13882.99,24,366,0
66246.11,39528.05,24,534,1
108548.54,42338.25,24,662,0
28164.12,15515.32,24,411,0
56343.5,27425.62,24,534,0
68906.38,14429.06,24,402,0
93395.6,68015.49,24,830,0
81115.84,24390.2,24,519,0
85232.75,46111.33,84,618,1
36397.91,19523.72,48,386,1
67840.71,19686.49,48,508,0
106229.48,45673.48,24,547,0
41277.6,25245.06,24,414,0
58479.82,15467.16,24,448,0
81481.78,35399.35,36,574,0
40925.09,17006.77,24,485,0
97563.03,53056.49,36,711,1
59924.48,18265.43,24,502,0
59705.54,20192.44,36,498,0
37717.9,11033.41,24,476,0
115228.16,68084.62,72,763,1
28421.21,8256.9,24,432,0
50816.34,22285.91,36,621,0
56445.0,52326.93,24,672,0
26025.07,12503.5,84,537,0
65538.01,67305.37,36,674,0
102999.15,28801.87,36,546,0
37387.43,8003.26,24,305,0
54954.9,21620.99,24,496,0
25622.54,8938.37,24,487,0
55192.91,74775.68,48,702,0
98787.12,22939.09,60,578,1
48442.4,22048.08,72,474,1
109899.69,64369.26,36,767,0
39786.97,11305.72,48,413,1
111821.68,77435.21,24,830,0
99018.87,84873.13,36,780,0
63725.69,49016.89,36,664,0
33733.23,7184.39,24,516,0
95925.75,55878.37,60,508,0
105427.9,43503.03,84,635,1
25907.17,14151.0,24,590,0
40760.05,14909.29,72,533,0
83426.31,50290.05,24,504,0
96697.56,89620.69,36,688,0
32991.72,15428.25,72,363,0
94890.24,66235.07,36,673,0
85690.44,45721.49,24,581,0
45646.15,18892.74,60,527,1
110664.79,43514.31,48,616,1
68578.21,39386.61,84,596,1
48236.95,14506.56,72,635,1
49094.31,25100.47,24,345,0
77651.4,42778.4,48,482,1
99295.67,83795.48,24,824,0
26726.76,9417.49,60,504,1
58880.1,28314.01,60,484,1
51088.19,12663.34,36,599,0
53677.58,32535.98,36,542,0
50973.16,29620.78,60,500,1
79450.57,34620.84,72,594,0
92340.19,59117.79,24,837,0
109164.7,41919.88,36,685,0
43589.43,16245.49,72,551,1
111372.17,55889.06,36,724,0
77011.68,33846.11,24,680,0
58612.66,35029.46,24,570,0
42379.22,21340.53,24,349,0
34131.12,8544.76,24,396,0
31725.49,19234.2,48,481,1
50152.88,40913.06,84,706,1
72035.73,27692.03,24,558,0
96588.01,78203.65,36,744,0
113544.67,89215.87,84,818,1
38781.05,8789.88,72,560,1
59980.4,37859.79,36,608,0
67784.67,30354.99,24,639,0
112679.76,59367.27,36,542,1
111391.86,71909.94,60,769,0
44507.33,19219.3,72,486,1
84809.46,20028.08,24,503,0
76511.99,74846.45,36,720,0
117125.67,37075.63,24,605,0
73302.18,35004.47,24,569,0
110256.51,86336.89,48,684,1
29881.69,13094.67,24,612,0
102407.62,36576.96,36,536,0
104265.07,50608.79,36,595,0
109538.75,55530.25,36,733,1
91975.81,61349.87,48,828,1
60493.68,30330.24,60,527,1
111404.4,65015.03,36,639,0
71807.35,29457.91,36,405,0
97459.64,43411.98,48,614,0
85642.45,65366.7,48,653,1
71256.81,33318.79,60,433,0
68466.58,30831.43,36,461,0
68228.4,22536.19,72,510,0
118129.03,85479.32,48,689,1
57985.45,36352.37,36,636,0
89334.77,39899.19,24,661,0
97792.04,81125.21,84,813,0
115147.32,85095.05,24,807,0
112534.59,79195.81,36,821,0
97889.86,70607.23,24,711,0
72057.58,23363.94,60,615,0
109775.73,71037.1,48,807,0
93300.78,45324.63,72,518,1
107736.63,53090.83,84,682,0
116255.84,89127.9,24,638,0
82403.32,38925.74,24,562,0
75571.19,23637.58,24,471,0
85898.38,85318.86,36,747,0
33174.15,16318.88,24,492,0
59726.38,14097.0,24,559,0
64204.62,21499.95,84,621,1
48530.51,26907.4,24,339,0
110713.01,77544.22,24,630,0
84510.25,47094.07,84,743,0
62712.98,27755.54,24,667,0
112880.1,69470.36,24,631,0
96109.84,49708.66,48,611,1
57620.02,12238.01,36,495,0
38569.11,19940.41,84,438,0
81415.9,75558.36,84,765,1
84032.84,41841.03,24,697,0
26884.46,5451.82,84,440,1
106294.87,55366.47,24,702,1
109009.85,50296.03,36,615,1
69969.76,21803.99,24,415,0
116574.2,86396.55,60,619,1
65556.91,17684.86,36,521,0
89395.32,75399.66,36,785,1
49256.46,27392.9,24,487,0
96136.51,51342.07,36,524,1
32207.5,10160.88,36,393,0
112860.57,44070.15,36,682,0
97380.69,53258.41,60,588,0
30180.01,9842.6,36,532,1
84857.79,37104.48,36,543,0
92011.43,75193.09,24,711,0
90409.97,73901.83,36,816,0
51049.16,17220.93,36,544,0
35143.79,10863.62,24,402,0
63526.13,34504.58,72,555,1
86044.44,37505.47,24,687,0
49518.46,11402.52,24,585,0
51140.8,47743.18,24,731,1
59861.59,31717.33,72,672,1
54935.31,21689.78,24,484,0
34661.27,16268.1,36,549,0
112223.77,77669.41,48,850,1
